Farmer_id,farmer_consent_form,district,number_of_coffee_farms_owned,farmer_head_of_family,number_of_household_members,farmer_member_coffee_org,name_of_coffee_org,farmer_part_of_carbon_project,carbon_project_name,farmer_has_mobile_money_wallet,land_agri_or_forest,land_documents,land_documents_other,any_land_dispute,any_land_dispute_details,protect_water_sources,protect_water_sources_details,use_organic_waste,use_organic_waste_details,harvest_wood_farm,harvest_wood_farm_regulations,harvest_wood_farm_regulations_details,interact_leaders_farming_activities,interact_leaders_farming_activities_details,workers_treatment,workers_treatment_details,pay_min_wage,pay_min_wage_details,underage_workers,underage_workers_details,workers_follow_schedule,workers_follow_schedule_details,workers_aware_of_rights,workers_aware_of_rights_details,pay_taxes,pay_taxes_details,corruption_practices_observed,corruption_practices_observed_details,gps_center_accuracy,gps_center_altitude,farm_size,coffee_trees_farmers_estimate,number_productive_trees,date_of_planting,percent_Arabica_grown,percent_Robusta_grown,crops_grown,crop_grown_other,irrigation_method,gap,male_workers,female_workers,temp_workers,permanent_workers,local_workers,immigrant_workers,2022_production_FAQ,2023_production_FAQ,2022_production_kiboko,2023_production_kiboko,2022_production_green_cherries,2023_production_green_cherries,sell_coffee_to,primary_buyer,primary_buyer_other
F-027,1.0,Kayunga,1,yes,5.0,no,,no,,no,Agricultural Use,Agreement/lease,,no,,yes,,yes,,yes,yes,,yes,,yes,,Yes,,no,,yes,,yes,,yes,,no,,2.8,1060.6,0.938433,1050.0,1000.0,2009-03-12 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,['Using Fertilizers'],3.0,0.0,0.0,3.0,0.0,0.0,800.0,500.0,1300.0,1300.0,,800.0,It's picked from your farm,Cooperative representative,
F-028,,Luwero,2,No,10.0,No,,No,,Yes,100% Agricultural,Lease,,No,,No,,Yes,,No,,,No,No interaction with cultural leaders,Yes,,Yes,,No,No child labor employed,Yes,Irregular schedules due to seasonal work,Yes,,Yes,,No,No corruption observed,,,6.007455,2450.0,367.0,1989-03-04 03:00:00Z,0-25%,75-100%,"Bananas, Cassava",,Irrigated,"Composting, Pest Management",6.0,7.0,3.0,1.0,1.0,0.0,,1923.0,,4031.0,,855.0,Luwero,Local Trader,
F-029,1.0,Kayunga,1,yes,6.0,no,,no,,yes,Agricultural Use,Customary,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,0.8914063,1057.526,1.212957,1700.0,1500.0,2000-06-08 03:00:00Z,0-25%,75-100%,"['Bananas', 'Beans']",,Rainfed,"['Using Fertilizers', 'Pruning', 'Weeding', 'Intercropping']",6.0,2.0,6.0,2.0,8.0,0.0,1500.0,1350.0,3000.0,3000.0,,1500.0,It's picked from your farm,Supplier,
F-030,1.0,Kayunga,1,yes,4.0,no,,no,,no,Agricultural Use,Customary,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,9.0,1107.6,0.33821,1000.0,950.0,1980-08-12 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,"['Intercropping', 'Weeding']",4.0,3.0,3.0,4.0,7.0,0.0,1100.0,1000.0,2200.0,2200.0,,1100.0,At a hulling station,Supplier,
F-031,1.0,Kayunga,1,no,4.0,no,,no,,yes,Agricultural Use,Agreement/lease,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,8.0,1061.69999999999,0.328296,1250.0,1200.0,2012-11-12 03:00:00Z,0-25%,75-100%,"['Bananas', 'Beans']",,Rainfed,['Weeding'],4.0,4.0,4.0,4.0,8.0,0.0,1000.0,900.0,2000.0,2000.0,,1000.0,At a hulling station,Supplier,
F-032,1.0,Kayunga,1,yes,4.0,no,,no,,yes,Agricultural Use,Customary,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,3.915,1079.6,0.469003,800.0,750.0,2005-02-12 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,"['Weeding', 'Intercropping']",3.0,3.0,3.0,3.0,6.0,0.0,750.0,600.0,1500.0,1500.0,,750.0,At a hulling station,Supplier,
F-033,1.0,Kayunga,1,yes,6.0,no,,no,,yes,Agricultural Use,Agreement/lease,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,1.0444275,1062.005,1.259368,1300.0,1000.0,2000-07-08 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,"['Using Fertilizers', 'Pruning', 'Weeding']",6.0,4.0,4.0,6.0,10.0,0.0,1000.0,900.0,2000.0,2000.0,,1000.0,It's picked from your farm,Supplier,
F-034,,Luwero,2,Yes,3.0,No,,No,,No,100% Agricultural,Other,,No,,Yes,Lack of resources for buffer zones,No,Limited knowledge of waste management,No,,,No,No interaction with cultural leaders,No,,Yes,,No,No child labor employed,Yes,,Yes,,Yes,,No,No corruption observed,,,3.929771,1400.0,2301.0,,0-25%,75-100%,"Matoke, Groundnuts",,Rainfed,"Composting, Pest Management",9.0,3.0,9.0,2.0,7.0,0.0,,1973.0,,624.0,,131.0,Luwero,Local Trader,
F-035,1.0,Kayunga,1,yes,4.0,no,,no,,yes,Agricultural Use,Customary,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,2.3,1082.1,0.275401,1050.0,1000.0,2001-05-12 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,['Intercropping'],4.0,3.0,4.0,3.0,7.0,0.0,1000.0,900.0,2000.0,2000.0,,1000.0,At a hulling station,Supplier,
F-036,1.0,Kayunga,1,yes,6.0,no,,no,,yes,Agricultural Use,Agreement/lease,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,11.905,1084.19999999999,0.535441,1050.0,1000.0,2000-08-13 03:00:00Z,0-25%,75-100%,"['Bananas', 'Beans']",,Rainfed,"['Intercropping', 'Weeding']",4.0,4.0,4.0,4.0,8.0,0.0,1000.0,850.0,2000.0,2000.0,,1000.0,It's picked from your farm,Supplier,
F-037,1.0,Kayunga,1,yes,8.0,no,,no,,yes,Agricultural Use,Agreement/lease,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,1.675,1051.5,0.164924,1400.0,1000.0,1994-04-09 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,"['Using Fertilizers', 'Pruning', 'Weeding', 'Intercropping']",8.0,4.0,6.0,6.0,12.0,0.0,1000.0,900.0,2000.0,2000.0,,1000.0,It's picked from your farm,Supplier,
F-038,1.0,Kayunga,2,yes,3.0,no,,no,,yes,Agricultural Use,Agreement/lease,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,10.9,1062.2,1.174393,1000.0,970.0,2003-03-30 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,['Weeding'],2.0,1.0,0.0,3.0,0.0,0.0,300.0,60.0,700.0,700.0,,300.0,It's picked from your farm,Supplier,
F-039,1.0,Kayunga,More than 10,yes,4.0,no,,no,,no,Agricultural Use,Title,,no,,yes,,yes,,yes,yes,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,12.277,1053.4,1.425172,900.0,39.0,2001-09-12 03:00:00Z,0-25%,75-100%,"['Bananas', 'Tobacco']",,Both(Rainfed+Irrigated),['Using Fertilizers'],2.0,3.0,10.0,20.0,5.0,4.0,95.0,75.0,900.0,900.0,,95.0,At a hulling station,Supplier,
F-040,1.0,Kayunga,1,yes,7.0,no,,no,,yes,Agricultural Use,Customary,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,2.6,1082.6,0.606781,1050.0,1000.0,1990-09-16 03:00:00Z,0-25%,75-100%,"['Bananas', 'Beans']",,Rainfed,"['Intercropping', 'Weeding']",3.0,4.0,3.0,4.0,7.0,0.0,1000.0,850.0,2000.0,2000.0,,1000.0,It's picked from your farm,Supplier,
F-041,1.0,Kayunga,1,yes,4.0,no,,no,,yes,Agricultural Use,Agreement/lease,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,4.1,1080.7,0.655621,850.0,800.0,2018-08-12 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,"['Weeding', 'Intercropping']",3.0,2.0,3.0,2.0,5.0,0.0,900.0,800.0,1800.0,1800.0,,900.0,It's picked from your farm,Supplier,
F-042,1.0,Luwero,1,yes,7.0,no,,no,,yes,Agricultural Use,Agreement/lease,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,7.0,1122.0,3.461865,1250.0,1200.0,2021-10-12 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,"['Pruning', 'Weeding', 'Intercropping']",0.0,4.0,0.0,4.0,4.0,0.0,1250.0,1200.0,2700.0,2700.0,,1250.0,At a hulling station,Supplier,
F-043,1.0,Kayunga,1,yes,8.0,no,,no,,yes,Agricultural Use,Agreement/lease,,no,,yes,,yes,,no,,,yes,,yes,,Yes,,no,,yes,,yes,,yes,,no,,0.732,1052.569,0.284572,1000.0,1000.0,1987-12-10 03:00:00Z,0-25%,75-100%,"['Bananas', 'Beans']",,Rainfed,"['Pruning', 'Weeding']",0.0,0.0,0.0,0.0,2.0,0.0,1500.0,1450.0,3000.0,3000.0,,1500.0,At a hulling station,Hulling Station representative,
F-044,1.0,Kayunga,1,yes,4.0,no,,no,,no,Agricultural Use,Agreement/lease,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,2.5,1087.3,0.543136,1050.0,1000.0,1990-12-08 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,"['Weeding', 'Intercropping']",3.0,3.0,2.0,4.0,6.0,0.0,1000.0,850.0,2000.0,2000.0,,1000.0,It's picked from your farm,Supplier,
F-045,1.0,Mukono,1,yes,7.0,no,,no,,yes,Natural forest,Agreement/lease,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,1.85,1040.2,1.968449,900.0,500.0,2017-04-12 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,['Weeding'],1.0,1.0,0.0,2.0,0.0,0.0,1000.0,1100.0,1200.0,1200.0,1500.0,1600.0,It's picked from your farm,Cooperative representative,
F-046,1.0,Kayunga,1,yes,8.0,no,,no,,yes,Agricultural Use,Agreement/lease,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,0.7671451,1054.091,1.206617,1700.0,1500.0,2000-04-08 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,"['Pruning', 'Weeding', 'Intercropping']",5.0,4.0,5.0,4.0,9.0,0.0,,1350.0,,3000.0,,1500.0,It's picked from your farm,Supplier,
F-047,1.0,Kayunga,1,yes,6.0,no,,no,,yes,Agricultural Use,Agreement/lease,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,0.7175549,1088.333,0.55984,1300.0,1000.0,2000-06-08 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,"['Using Fertilizers', 'Pruning', 'Weeding', 'Intercropping']",6.0,2.0,2.0,6.0,8.0,0.0,1000.0,900.0,2000.0,2000.0,,1000.0,At a hulling station,Supplier,
F-048,1.0,Kayunga,1,yes,4.0,no,,no,,yes,Agricultural Use,Customary,,no,,yes,,yes,,yes,yes,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,5.485,1024.1,0.781835,1000.0,800.0,2004-02-09 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,"['Using Fertilizers', 'Pruning', 'Weeding']",2.0,1.0,3.0,0.0,3.0,0.0,800.0,500.0,1600.0,1600.0,,800.0,It's picked from your farm,Supplier,
F-049,,Nakaseke,5,No,6.0,No,,No,,Yes,100% Agricultural,Other,,No,,Yes,,Yes,,No,,,No,,No,,Yes,,No,No child labor employed,No,,Yes,Lack of training on rights,Yes,,No,No corruption observed,,,5.122843,350.0,264.0,1999-01-12 03:00:00Z,0-25%,75-100%,,,Irrigated,"Mulching, Pruning",5.0,1.0,8.0,4.0,0.0,0.0,,376.0,,4272.0,,1188.0,Nakaseke,Local Trader,
F-050,1.0,Kayunga,1,yes,5.0,no,,no,,yes,Agricultural Use,Agreement/lease,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,2.5,1075.8,0.809232,1250.0,1200.0,2009-08-12 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,"['Using Fertilizers', 'Intercropping']",5.0,5.0,4.0,6.0,10.0,0.0,1100.0,1100.0,2400.0,2400.0,1200.0,1200.0,At a hulling station,Supplier,
F-051,1.0,Kayunga,1,yes,8.0,no,,no,,yes,Agricultural Use,Agreement/lease,,no,,yes,,yes,,no,,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,0.7003971,1065.619,0.884495,1300.0,1000.0,2008-07-08 03:00:00Z,0-25%,75-100%,"['Bananas', 'Cocoa', 'Beans']",,Rainfed,"['Using Fertilizers', 'Pruning', 'Weeding', 'Intercropping']",10.0,1.0,6.0,5.0,11.0,0.0,1000.0,900.0,2000.0,2000.0,,1000.0,It's picked from your farm,Cooperative representative,
F-052,1.0,Kayunga,1,yes,5.0,no,,no,,yes,Agricultural Use,Agreement/lease,,no,,yes,,yes,,yes,yes,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,5.1,1068.1,1.637172,1000.0,1000.0,2003-08-09 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,"['Using Fertilizers', 'Pruning', 'Intercropping', 'Weeding']",3.0,1.0,4.0,0.0,4.0,0.0,1000.0,800.0,2000.0,2000.0,,1000.0,It's picked from your farm,Supplier,
F-053,1.0,Kayunga,1,no,5.0,no,,no,,yes,Agricultural Use,Agreement/lease,,no,,yes,,yes,,yes,yes,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,10.7,1053.0,1.746327,1000.0,1000.0,2007-08-09 03:00:00Z,0-25%,75-100%,['Bananas'],,Rainfed,"['Using Fertilizers', 'Pruning', 'Weeding']",3.0,1.0,3.0,1.0,4.0,0.0,1000.0,800.0,2000.0,2000.0,,1000.0,It's picked from your farm,Supplier,
